facility_state,facility_county,nyt_id,facility_name,facility_type,latest_inmate_population,max_inmate_population_2020,total_inmate_cases,total_inmate_deaths,total_officer_cases,total_officer_deaths
Wisconsin,Dodge,88B45BED,John C. Burke Correctional Center,State prison,180.0,194.0,40,0,20,0.0
Wisconsin,Kenosha,A166DF78,Kenosha Correctional Center,State prison,40.0,119.0,8,0,7,0.0
Wisconsin,Sheboygan,E2E419AC,Kettle Moraine Correctional Institution,State prison,1091.0,1148.0,886,1,149,0.0
Wisconsin,Milwaukee,CCFFCB98,Marshall E. Sherrer Correctional Center,State prison,40.0,53.0,9,0,15,0.0
Wisconsin,Oneida,944CFFD2,McNaughton Correctional Center,State prison,109.0,110.0,71,0,9,0.0
Wisconsin,Milwaukee,8031EDBD,Milwaukee Secure Detention Facility,State prison,413.0,466.0,150,0,80,0.0
Wisconsin,Milwaukee,7B6F5835,Milwaukee Women's Correctional Center,State prison,74.0,74.0,30,0,14,0.0
Wisconsin,Juneau,41D323E8,New Lisbon Correctional Institution,State prison,1030.0,1030.0,552,0,91,0.0
Wisconsin,Dane,78991EF0,Oakhill Correctional Institution,State prison,646.0,671.0,424,1,60,0.0
Wisconsin,Dane,ED10DC4A,Oakhill Correctional Institution,State prison,108.0,108.0,1,0,2,0.0
Wisconsin,Winnebago,5A51E46A,Oshkosh Correctional Institution,State prison,1927.0,1999.0,1033,4,129,0.0
Wisconsin,Crawford,C7EA8F79,Prairie du Chien Correctional Institution,State prison,487.0,506.0,414,1,75,0.0
Wisconsin,Racine,D1EC902C,Racine Correctional Institution/Sturtevant Transitional Facility,State prison,1590.0,1608.0,1179,2,137,0.0
Wisconsin,Racine,642BC3DD,Racine Youthful Offender Correctional Facility,State juvenile detention,369.0,,138,0,58,0.0
Wisconsin,Waushara,29B01F0E,Redgranite Correctional Institution,State prison,942.0,1004.0,362,3,88,0.0
Wisconsin,Racine,450ECC3B,Robert E. Ellsworth Correctional Center,State prison,360.0,375.0,242,0,39,0.0
Wisconsin,Outagamie,7385AFE0,Sanger B. Powers Correctional Center,State prison,97.0,99.0,63,0,2,0.0
Wisconsin,St. Croix,2090B4A0,Saint Croix Correctional Center,State prison,94.0,94.0,1,0,7,0.0
Wisconsin,Chippewa,372B6EB9,Stanley Correctional Institution,State prison,1491.0,1514.0,421,3,135,0.0
Wisconsin,Fond du Lac,17121311,Taycheedah Correctional Institution,State prison,848.0,848.0,473,1,85,0.0
Wisconsin,Dane,5ED136DC,Thompson Correctional Center,State prison,93.0,110.0,40,0,8,0.0
Wisconsin,Dodge,9D67B049,Waupun Correctional Institution,State prison,1167.0,1206.0,722,4,129,0.0
Wisconsin,Winnebago,69FCFF34,Winnebago Correctional Center,State prison,196.0,196.0,78,0,14,0.0
Wisconsin,Grant,803939F0,Wisconsin Secure Program Facility,State prison,458.0,458.0,3,0,45,0.0
Wyoming,Niobrara,A139CF64,Wyoming Women’s Center,State prison,238.0,281.0,3,0,17,0.0
Wyoming,Weston,69B6A651,Wyoming Honor Conservation Camp,State prison,213.0,,182,0,35,0.0
Wyoming,Fremont,0D595E91,Wyoming Honor Farm,State prison,205.0,,203,0,34,0.0
Wyoming,Goshen,F5A119E0,Wyoming Medium Correctional Institution,State prison,583.0,583.0,71,0,96,0.0
Wyoming,Carbon,B81A114F,Wyoming State Penitentiary,State prison,601.0,826.0,420,1,114,0.0
Arizona,Pinal,0C467D77,Saguaro Correctional Center,State prison,1738.0,,956,3,0,0.0
Georgia,Charlton,D5357D8C,D. Ray James federal prison,Federal prison,,572.0,197,3,0,0.0
Georgia,Charlton,B1BF5700,Folkston ICE Processing Center,Detention center,,,104,0,0,0.0
Iowa,Polk,8429115D,Polk County Jail,Jail,,,292,0,74,0.0
Iowa,Polk,A648964D,Polk County ICE facility,Detention center,,,15,0,0,0.0
Kansas,Chase,5F066C3D,Chase County jail,Jail,,,0,0,0,0.0
Kansas,Chase,FE719C1C,Chase County ICE facility,Detention center,,,84,0,0,0.0
Massachusetts,Bristol,ADF0DEF0,Bristol County jail,Jail,,,97,0,155,0.0
Massachusetts,Bristol,CA22F36D,Bristol County ICE facility,Detention center,,,9,0,0,0.0
Massachusetts,Franklin,CD05E8D8,Franklin County jail,Jail,,,12,0,10,0.0
Massachusetts,Franklin,1DAFFD64,Franklin County ICE facility,Detention center,,,9,0,0,0.0
Missouri,Lincoln,16542AB9,Lincoln County jail,Jail,,,34,0,5,0.0
Missouri,Lincoln,85150576,Lincoln County ICE facility,Detention center,,,1,0,0,0.0
Nebraska,Douglas,F686E539,Douglas County jail,Jail,,,225,0,214,0.0
Nebraska,Douglas,00C7C0E4,Douglas County ICE facility,Detention center,,,1,0,0,0.0
New Jersey,Bergen,DEF999EE,Bergen County Jail,Jail,,,53,0,67,0.0
New Jersey,Bergen,5B89F4EA,Bergen County ICE facility,Detention center,,,24,0,1,0.0
New Jersey,Essex,070CA1A7,Essex County jail,Jail,,,37,0,186,0.0
New Jersey,Essex,037531F2,Essex County ICE facility,Detention center,,,24,0,1,0.0
New Jersey,Hudson,F2CCCAEE,Hudson County jail,Jail,,,113,0,150,2.0
New Jersey,Hudson,8871DB34,Hudson County ICE facility,Detention center,,,14,0,1,0.0
New Mexico,Cibola,3B8D5611,Cibola County Correctional Center,Jail,,,445,0,82,0.0
New Mexico,Cibola,96BAECA1,Cibola County ICE facility,Detention center,,,1,0,0,0.0
New Mexico,Otero,747D5FB0,Otero County correctional facilities,Federal prison,1302.0,,916,4,25,0.0
Ohio,Morrow,7B1E70AA,Morrow County jail,Jail,,,51,0,5,0.0
Ohio,Morrow,0468276F,Morrow County ICE facility,Detention center,,,51,0,0,0.0
Oklahoma,Tulsa,2A556AE7,Tulsa County jail,Jail,,,390,0,6,0.0
Oklahoma,Tulsa,7656B11F,David L. Moss Criminal Justice Center,Detention center,,,0,0,0,0.0
Pennsylvania,Pike,6AF291DE,Pike County jail,Jail,,,67,2,24,0.0
Pennsylvania,Pike,E0118D55,Pike County ICE facility,Detention center,,,38,0,0,0.0
Pennsylvania,York,7EA44414,York County jail,Jail,,,718,0,67,0.0
